Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.641123,-60.700118""]";Parquimetro en Suipacha y Belgrano;-31.641123;-60.700118
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.640403,-60.708802""]";Parquimetro en Crespo y 1 de Mayo;-31.640403;-60.708802
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.640901,-60.706394""]";Parquimetro en Crespo y San Jeronimo;-31.640901;-60.706394
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.641216,-60.704983""]";Parquimetro en Crespo y San Martin;-31.641216;-60.704983
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.641677,-60.70281""]";Parquimetro en Rivadavia y Crespo;-31.641677;-60.70281
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.641914,-60.701786""]";Parquimetro en Crespo y San Luis;-31.641914;-60.701786
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.642211,-60.700488""]";Parquimetro en Crespo y Belgrano;-31.642211;-60.700488
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.64154,-60.709151""]";Parquimetro en H. Yrigoyen y 1 de Mayo;-31.64154;-60.709151
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.641969,-60.706769""]";Parquimetro en H. Yrigoyen y San Jeronimo;-31.641969;-60.706769
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.642243,-60.705326""]";Parquimetro en H. Yrigoyen y San Martin;-31.642243;-60.705326
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.642348,-60.704586""]";Parquimetro en H. Yrigoyen y 25 de Mayo;-31.642348;-60.704586
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.642686,-60.703132""]";Parquimetro en H. Yrigoyen y Rivadavia;-31.642686;-60.703132
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.642919,-60.70207""]";Parquimetro en H. Yrigoyen y San Luis;-31.642919;-60.70207
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.642677,-60.709505""]";Parquimetro en I. Freyre y 1 de Mayo;-31.642677;-60.709505
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.643116,-60.70707""]";Parquimetro en I. Freyre y San Jeronimo;-31.643116;-60.70707
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.643385,-60.70567""]";Parquimetro en I. Freyre y San Martin;-31.643385;-60.70567
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.643522,-60.704945""]";Parquimetro en I. Freyre y 25 de Mayo;-31.643522;-60.704945
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.643801,-60.703465""]";Parquimetro en I. Freyre y Rivadavia;-31.643801;-60.703465
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.643997,-60.702413""]";Parquimetro en I. Freyre y San Luis;-31.643997;-60.702413
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.644298,-60.701056""]";Parquimetro en I.Freyre y Belgrano;-31.644298;-60.701056
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.643801,-60.709806""]";Parquimetro en Eva Peron y 1 de Mayo;-31.643801;-60.709806
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.644257,-60.707424""]";Parquimetro en Eva Peron y San Jeronimo;-31.644257;-60.707424
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.644531,-60.705975""]";Parquimetro en Eva Peron y San Martin;-31.644531;-60.705975
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.644924,-60.703819""]";Parquimetro en Eva Peron y Rivadavia;-31.644924;-60.703819
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.645102,-60.702698""]";Parquimetro en Eva Peron y San Luis;-31.645102;-60.702698
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.644481,-60.71135""]";Parquimetro en La Rioja y 4 de Enero;-31.644481;-60.71135
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.645098,-60.708792""]";Parquimetro en La Rioja y 9 de Julio;-31.645098;-60.708792
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.646175,-60.704243""]";Parquimetro en La Rioja y Rivadavia;-31.646175;-60.704243
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.646486,-60.703121""]";Parquimetro en La Rioja y San Luis;-31.646486;-60.703121
Estacionamiento medido: Lunes a Viernes de 07.00 a 13.00 y de 16.00 a 20.00. Sabados de 08.00 a 13.00.;"[""-31.645541,-60.711678""]";Parquimetro en Tucuman y 4 de Enero;-31.645541;-60.711678
